# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 23.427083333333332
# DEC: 3.5434166666666664
# OBS_DATE: 2024-06-27 11:23:19.170000+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 165244
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
4907.239,2.25139e+00,6.97157e-02
4909.772,2.37009e+00,7.36697e-02
4912.306,2.40999e+00,7.70321e-02
4914.840,2.38231e+00,7.38168e-02
4917.374,2.41524e+00,6.86081e-02
4919.907,2.19112e+00,6.66675e-02
4922.441,2.31339e+00,6.98349e-02
4924.975,2.32430e+00,7.53424e-02
4927.509,2.41000e+00,7.56318e-02
4930.042,2.18771e+00,6.98553e-02
4932.576,2.20883e+00,6.78357e-02
4935.110,2.38839e+00,6.95494e-02
4937.644,2.23586e+00,7.35653e-02
4940.178,2.15351e+00,7.42217e-02
4942.711,2.29151e+00,7.08626e-02
4945.245,2.34866e+00,6.83895e-02
4947.779,2.26356e+00,6.86344e-02
4950.313,2.16367e+00,7.22056e-02
4952.846,2.18022e+00,7.43603e-02
4955.380,2.14597e+00,7.12685e-02
4957.914,2.16827e+00,6.70288e-02
4960.448,2.20640e+00,6.68789e-02
4962.981,2.24280e+00,7.01139e-02
4965.515,2.12345e+00,7.39384e-02
4968.049,2.17799e+00,7.32086e-02
4970.583,2.25038e+00,6.86894e-02
4973.116,2.29969e+00,6.72598e-02
4975.650,2.12017e+00,6.82182e-02
4978.184,2.28432e+00,7.36141e-02
4980.718,2.14978e+00,7.32997e-02
4983.251,2.20045e+00,6.83312e-02
4985.785,2.17645e+00,6.56807e-02
4988.319,2.23293e+00,6.67101e-02
4990.853,2.14357e+00,7.07111e-02
4993.387,2.23296e+00,7.30735e-02
4995.920,2.17083e+00,6.98865e-02
4998.454,2.10810e+00,6.54305e-02
5000.988,2.12459e+00,6.46006e-02
5003.522,2.23852e+00,6.71042e-02
5006.055,2.16690e+00,7.11075e-02
5008.589,2.07883e+00,6.91919e-02
5011.123,2.17232e+00,6.47596e-02
5013.657,2.19380e+00,6.30936e-02
5016.190,2.21418e+00,6.46185e-02
